fork,43,127,6717031,5461
fork,43,127,5518679083,229362
fork,43,127,11078413963,76454
fork,43,379,2053423,684474
fork,43,379,393572551,342237
fork,43,379,474796799,16297
fork,43,379,968652448591,48891
fork,43,7603,7192439,326929
fork,43,7603,116556073223,653858
fork,43,19531,442311486779,5878831
fork,43,519499,39092299751,156369199
fork,43,519499,81624721879,156369199
fork,127,379,208223359,48133
fork,127,379,23557541659,336931
fork,127,379,26303433043,288798
fork,127,379,46951334851,1010793
fork,127,379,203924792303,673862
fork,127,7603,40554403,40554402
fork,127,7603,469272367,5793486
fork,127,7603,158712548971,965581
fork,127,19531,18201446707,14882622
fork,127,519499,1979291191,197929119
fork,379,7603,335462774467,17289222
fork,379,19531,250891827607,103631486
fork,379,519499,13782308471,1378230847
fork,379,519499,79937389127,2756461694
fork,379,519499,124040776231,196890121
fork,7603,519499,782050677607,23698505382
