relay,43,0,9547,86
relay,43,0,42743,602
relay,43,0,18471511,129
relay,43,0,558801427,258
relay,43,0,7866608083,86
relay,127,0,2287,254
relay,127,0,23623,762
relay,127,0,133351,2667
relay,127,0,4283203,1778
relay,379,0,6823,2274
relay,379,0,15919,379
relay,379,0,111427,15918
relay,379,0,7401871,7959
relay,7603,0,319327,106442
relay,7603,0,1262099,7603
relay,7603,0,1596631,159663
relay,7603,0,188721667,319326
relay,7603,0,648003691,22809
relay,19531,0,11835787,39062
relay,19531,0,42304147,117186
relay,19531,0,3326871479,19531
relay,519499,0,36364931,3636493
relay,519499,0,327284371,10909479
