serial,43,9547,57283,19094
serial,43,9547,93312379,28641
serial,43,42743,85487,85486
serial,43,42743,3675899,1837949
serial,43,42743,9102976711,128229
serial,43,42743,20610760087,85486
serial,43,42743,22772188111,12865643
serial,43,42743,257053239019,128229
serial,43,42743,379606310563,11027694
serial,43,18471511,110829067,110829066
serial,43,18471511,31807941943,775803462
serial,43,18471511,81016047247,4765649838
serial,43,18471511,233516842063,33359548866
serial,43,18471511,855711218587,775803462
serial,43,558801427,30175277059,558801427
serial,43,558801427,320752019099,3911609989
serial,43,7866608083,550662565811,55066256581
serial,127,2287,13723,13722
serial,127,2287,672379,48027
serial,127,2287,12198859,290449
serial,127,2287,15519583,13722
serial,127,2287,215128943,32018
serial,127,2287,413018479,290449
serial,127,23623,18000727,18000726
serial,127,23623,126005083,126005082
serial,127,23623,13986564103,6000242
serial,127,133351,5600743,5600742
serial,127,133351,2188289911,400053
serial,127,133351,32482436687,237098078
serial,127,133351,34823546843,1866914
serial,127,133351,663637520323,711294234
serial,127,4283203,16319003431,1631900343
serial,379,6823,40939,6823
serial,379,6823,170670523,15515502
serial,379,6823,103421164499,2585917
serial,379,15919,286543,95514
serial,379,15919,668599,334299
serial,379,15919,1496387,31838
serial,379,15919,30532643,222866
serial,379,15919,353688343,95514
serial,379,15919,247715272459,6033301
serial,379,15919,989612435311,47757
serial,379,111427,422308331,42230833
serial,379,7401871,310878583,103626194
serial,379,7401871,24559407979,51813097
serial,379,7401871,33885765439,155439291
serial,7603,319327,9579811,957981
serial,7603,319327,469410691,6705867
serial,7603,319327,1753105231,957981
serial,7603,319327,3785302259,319327
serial,7603,1262099,2524199,1262099
serial,7603,1262099,5671872907,53008158
serial,7603,1596631,3196455263,22352834
serial,7603,1596631,123767641859,11176417
serial,19531,11835787,781161943,71014722
serial,19531,11835787,3621750823,23671574
serial,19531,42304147,264739351927,592258058
serial,19531,3326871479,6653742959,3326871479
serial,19531,3326871479,46576200707,6653742958
serial,19531,3326871479,59883686623,19961228874
serial,19531,3326871479,139728602119,69864301059
serial,519499,36364931,12291346679,36364931
