p,ord_p_3,ord_p_5,ord_p2_3,ord_p2_5,weight_1_over_max,maxfiber,alpha_exact
17851,3570,1275,63728070,22760025,1/3570,285,19/303450
7151,3575,715,25564825,5112965,1/3575,374,34/232375
35771,3577,3577,127952867,127952867,1/3577,385,55/1827847
3583,3582,3582,12834306,12834306,1/3582,3582,1/3582
7211,3605,3605,25995655,25995655,1/3605,1803,1803/12996025
3607,1202,3606,4335614,13006842,1/3606,1202,1/3606
10831,3610,1805,39099910,19549955,1/3610,1805,1/3610
3623,1811,3622,6561253,13122506,1/3622,1811,1/3622
3643,3642,3642,13267806,13267806,1/3642,3642,1/3642
7331,733,3665,5373623,26868115,1/3665,391,391/2686445
36671,3667,965,134472557,35387515,1/3667,119,119/3538655
7351,2450,3675,18009950,27014925,1/3675,1250,1/7203
7451,149,3725,1110199,27754975,1/3725,88,88/555025
3727,3726,414,13886802,1542978,1/3726,414,1/3726
7499,3749,3749,28113751,28113751,1/3749,1875,1875/14055001
3767,1883,3766,7093261,14186522,1/3766,1883,1/3766
7559,3779,3779,28565461,28565461,1/3779,1890,1890/14280841
7591,506,3795,3841046,28807845,1/3795,276,2/13915
3803,1901,3802,7229503,14459006,1/3802,1901,1/3802
7639,2546,3819,19448894,29173341,1/3819,1301,1301/9723174
3823,3822,1274,14611506,4870502,1/3822,1274,1/3822
7691,3845,769,29571895,5914379,1/3845,408,408/2956805
3847,1282,3846,4931854,14795562,1/3846,1282,1/3846
11551,3850,1925,44471350,22235675,1/3850,1925,1/3850
3863,1931,3862,7459453,14918906,1/3862,1931,1/3862
42571,3870,387,164749770,16474977,1/3870,387,1/3870
38711,2765,3871,107035915,149850281,1/3871,315,9/305809
19471,3894,3245,75820074,63183395,1/3894,694,347/6318015
58411,3894,2655,227452434,155081205,1/3894,212,106/5169285
3907,1302,3906,5086914,15260742,1/3906,1302,1/3906
3919,3918,1959,15354642,7677321,1/3918,1959,1/3918
3923,1961,3922,7693003,15386006,1/3922,1961,1/3922
3931,3930,1965,15448830,7724415,1/3930,1965,1/3930
3943,3942,3942,15543306,15543306,1/3942,3942,1/3942
3947,1973,3946,7787431,15574862,1/3946,1973,1/3946
87011,791,3955,68825701,344128505,1/3955,56,8/446915
7919,3959,3959,31351321,31351321,1/3959,1980,1980/15673681
7951,2650,3975,21070150,31605225,1/3975,1354,677/5266875
4003,4002,4002,16020006,16020006,1/4002,4002,1/4002
12007,4002,4002,48052014,48052014,1/4002,4002,1/4002
20011,4002,3335,80084022,66736685,1/4002,709,709/13346670
4007,2003,4006,8026021,16052042,1/4006,2003,1/4006
8039,4019,4019,32308741,32308741,1/4019,2010,2010/16152361
4027,4026,4026,16212702,16212702,1/4026,4026,1/4026
8111,4055,4055,32890105,32890105,1/4055,2028,2028/16443025
8171,4085,4085,33378535,33378535,1/4085,2043,2043/16687225
8219,4109,4109,33771871,33771871,1/4109,2055,2055/16883881
12343,4114,374,50779102,4616282,1/4114,374,1/4114
8231,4115,4115,33870565,33870565,1/4115,2058,2058/16933225
4127,2063,4126,8514001,17028002,1/4126,2063,1/4126
289171,2430,4131,702685530,1194565401,1/4131,243,1/41310
8291,4145,4145,34366195,34366195,1/4145,2073,2073/17181025
4159,4158,27,17293122,112293,1/4158,27,1/4158
62731,4182,615,262341042,38579565,1/4182,123,1/20910
4219,4218,703,17795742,2965957,1/4218,703,1/4218
4231,4230,235,17897130,994285,1/4230,235,1/4230
4243,4242,1414,17998806,5999602,1/4242,1414,1/4242
12799,4266,237,54600534,3033363,1/4266,237,1/4266
21391,4278,345,91510698,7379895,1/4278,88,44/737955
4283,2141,4282,9169903,18339806,1/4282,2141,1/4282
4327,4326,1442,18718602,6239534,1/4326,1442,1/4326
8699,4349,4349,37831951,37831951,1/4349,2175,2175/18913801
4363,4362,4362,19031406,19031406,1/4362,4362,1/4362
26251,150,4375,3937650,114848125,1/4375,41,41/656250
8819,4409,4409,38882971,38882971,1/4409,2205,2205/19439281
44111,4411,4411,194573621,194573621,1/4411,478,478/19456921
8831,883,4415,7797773,38988865,1/4415,464,464/3898445
4423,4422,4422,19558506,19558506,1/4422,4422,1/4422
92863,4422,1386,410640186,128708118,1/4422,90,5/340494
13291,4430,2215,58879130,29439565,1/4430,2215,1/4430
44351,4435,4435,196696685,196696685,1/4435,494,494/19669225
4447,4446,494,19771362,2196818,1/4446,494,1/4446
4463,2231,4462,9956953,19913906,1/4462,2231,1/4462
4483,1494,4482,6697602,20092806,1/4482,1494,1/4482
8999,4499,4499,40486501,40486501,1/4499,2250,2250/20241001
4507,4506,4506,20308542,20308542,1/4506,4506,1/4506
4519,4518,753,20416842,3402807,1/4518,753,1/4518
