block_index,start_n,end_exclusive,minimum_T,argmin_count,argmin_n
0,240000000001,240000010001,16,1,240000005594
1,240000010001,240000020001,20,1,240000014576
2,240000020001,240000030001,20,1,240000028184
3,240000030001,240000040001,21,2,240000030704;240000032062
4,240000040001,240000050001,19,2,240000044158;240000047182
5,240000050001,240000060001,20,1,240000059950
6,240000060001,240000070001,22,4,240000062618;240000063968;240000064400;240000067342
7,240000070001,240000080001,19,2,240000072194;240000076568
8,240000080001,240000090001,21,2,240000081122;240000085298
9,240000090001,240000100001,18,2,240000098254;240000098744
