2 0 0
3 2 1 2 1
5 2 1 2 2
7 3 2 2 1 3 1
11 2 2 2 1 5 1
13 2 2 2 2 3 1
17 3 1 2 4
19 2 2 2 1 3 2
23 5 2 2 1 11 1
31 3 3 2 1 3 1 5 1
37 2 2 2 2 3 2
43 3 3 2 1 3 1 7 1
89 3 2 2 3 11 1
97 5 2 2 5 3 1
103 5 3 2 1 3 1 17 1
109 6 2 2 2 3 3
139 2 3 2 1 3 1 23 1
151 6 3 2 1 3 1 5 2
179 2 2 2 1 89 1
223 3 3 2 1 3 1 37 1
401 3 2 2 4 5 2
971 6 3 2 1 5 1 97 1
2677 2 3 2 2 3 1 223 1
3719 7 3 2 1 11 1 13 2
6689 3 3 2 5 11 1 19 1
8951 13 3 2 1 5 2 179 1
10709 2 2 2 2 2677 1
179021 2 3 2 2 5 1 8951 1
317593 5 4 2 3 3 2 11 1 401 1
149930509 2 7 2 2 3 1 7 1 13 1 31 1 43 1 103 1
13127967973 2 5 2 2 3 3 7 1 97 1 179021 1
1562986310551 6 7 2 1 3 1 5 2 7 1 43 1 109 1 317593 1
246201060546547 2 8 2 1 3 1 7 1 43 1 139 1 151 1 971 1 6689 1
147304138944416276237689 23 8 2 3 3 2 7 1 13 1 43 1 3719 1 10709 1 13127967973 1
