pair_index,c,d,shift,duplicate_shift_group
295,17,6,129155788,
296,17,7,129218288,
297,17,8,129530788,
298,17,9,131093288,
299,17,10,138905788,
300,17,11,177968288,
301,17,12,373280788,
302,17,13,1349843288,
303,17,14,6232655788,
304,17,15,30646718288,
305,17,16,152717030788,
306,18,0,387420490,
307,18,1,387420494,
308,18,2,387420514,
309,18,3,387420614,
310,18,4,387421114,
311,18,5,387423614,
312,18,6,387436114,
313,18,7,387498614,
314,18,8,387811114,
315,18,9,389373614,
316,18,10,397186114,
317,18,11,436248614,
318,18,12,631561114,
319,18,13,1608123614,
320,18,14,6490936114,
321,18,15,30904998614,
322,18,16,152975311114,
323,19,0,1162261468,
324,19,1,1162261472,
325,19,2,1162261492,
326,19,3,1162261592,
327,19,4,1162262092,
328,19,5,1162264592,
329,19,6,1162277092,
330,19,7,1162339592,
331,19,8,1162652092,
332,19,9,1164214592,
333,19,10,1172027092,
334,19,11,1211089592,
335,19,12,1406402092,
336,19,13,2382964592,
337,19,14,7265777092,
338,19,15,31679839592,
339,19,16,153750152092,
340,20,0,3486784402,
341,20,1,3486784406,
342,20,2,3486784426,
343,20,3,3486784526,
344,20,4,3486785026,
345,20,5,3486787526,
346,20,6,3486800026,
347,20,7,3486862526,
348,20,8,3487175026,
349,20,9,3488737526,
350,20,10,3496550026,
351,20,11,3535612526,
352,20,12,3730925026,
353,20,13,4707487526,
354,20,14,9590300026,
355,20,15,34004362526,
356,20,16,156074675026,
357,21,0,10460353204,
358,21,1,10460353208,
359,21,2,10460353228,
360,21,3,10460353328,
361,21,4,10460353828,
362,21,5,10460356328,
363,21,6,10460368828,
364,21,7,10460431328,
365,21,8,10460743828,
366,21,9,10462306328,
367,21,10,10470118828,
368,21,11,10509181328,
369,21,12,10704493828,
370,21,13,11681056328,
371,21,14,16563868828,
372,21,15,40977931328,
373,21,16,163048243828,
374,22,0,31381059610,
375,22,1,31381059614,
376,22,2,31381059634,
377,22,3,31381059734,
378,22,4,31381060234,
379,22,5,31381062734,
380,22,6,31381075234,
381,22,7,31381137734,
382,22,8,31381450234,
383,22,9,31383012734,
384,22,10,31390825234,
385,22,11,31429887734,
386,22,12,31625200234,
387,22,13,32601762734,
388,22,14,37484575234,
389,22,15,61898637734,
390,22,16,183968950234,
391,23,0,94143178828,
392,23,1,94143178832,
393,23,2,94143178852,
394,23,3,94143178952,
395,23,4,94143179452,
396,23,5,94143181952,
397,23,6,94143194452,
398,23,7,94143256952,
399,23,8,94143569452,
400,23,9,94145131952,
401,23,10,94152944452,
402,23,11,94192006952,
403,23,12,94387319452,
404,23,13,95363881952,
405,23,14,100246694452,
406,23,15,124660756952,
