pair_index,c,d,shift,target_survival_count,target_survival_frequency,h_-720_persistent_covered,h_-720_survival_count,h_-720_survival_frequency,h_-360_persistent_covered,h_-360_survival_count,h_-360_survival_frequency,h_0_persistent_covered,h_0_survival_count,h_0_survival_frequency,h_360_persistent_covered,h_360_survival_count,h_360_survival_frequency,h_720_persistent_covered,h_720_survival_count,h_720_survival_frequency,mean_control_frequency_numerator,mean_control_frequency_denominator,mean_control_frequency_decimal,target_minus_mean_control_frequency_numerator,target_minus_mean_control_frequency_denominator,target_minus_mean_control_frequency_decimal,rank_target_survival_frequency,rank_target_excess_above_control_mean,rank_target_deficit_below_control_mean
10,0,10,9765626,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1028,0,0,1,0,198,164,108
11,0,11,48828126,72,0.280155642023346303501945525292,0,71,0.276264591439688715953307392996,0,60,0.233463035019455252918287937743,0,72,0.280155642023346303501945525292,0,71,0.276264591439688715953307392996,0,70,0.272373540856031128404669260700,272,1028,0.264591439688715953307392996109,4,257,0.0155642023346303501945525291829,15,146,261
12,0,12,244140626,41,0.159533073929961089494163424125,0,52,0.202334630350194552529182879377,0,55,0.214007782101167315175097276265,0,41,0.159533073929961089494163424125,1,0,0,0,54,0.210116731517509727626459143969,161,1028,0.156614785992217898832684824903,3,1028,0.00291828793774319066147859922179,191,156,252
13,0,13,1220703126,0,0,0,71,0.276264591439688715953307392996,0,65,0.252918287937743190661478599222,1,0,0,0,69,0.268482490272373540856031128405,0,70,0.272373540856031128404669260700,275,1028,0.267509727626459143968871595331,-275,1028,-0.267509727626459143968871595331,199,403,4
14,0,14,6103515626,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1028,0,0,1,0,200,165,109
15,0,15,30517578126,60,0.233463035019455252918287937743,1,0,0,0,60,0.233463035019455252918287937743,0,60,0.233463035019455252918287937743,0,72,0.280155642023346303501945525292,1,0,0,132,1028,0.128404669260700389105058365759,27,257,0.105058365758754863813229571984,127,32,376
16,0,16,152587890626,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1028,0,0,1,0,201,166,110
17,1,0,4,61,0.237354085603112840466926070039,0,70,0.272373540856031128404669260700,0,63,0.245136186770428015564202334630,0,61,0.237354085603112840466926070039,0,64,0.249027237354085603112840466926,0,61,0.237354085603112840466926070039,258,1028,0.250972762645914396887159533074,-7,514,-0.0136186770428015564202334630350,121,318,89
18,1,1,8,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1028,0,0,1,0,202,167,111
19,1,2,28,58,0.225680933852140077821011673152,1,0,0,0,63,0.245136186770428015564202334630,0,58,0.225680933852140077821011673152,0,67,0.260700389105058365758754863813,1,0,0,130,1028,0.126459143968871595330739299611,51,514,0.0992217898832684824902723735409,146,34,373
20,1,3,128,47,0.182879377431906614785992217899,0,56,0.217898832684824902723735408560,0,52,0.202334630350194552529182879377,0,47,0.182879377431906614785992217899,1,0,0,0,48,0.186770428015564202334630350195,156,1028,0.151750972762645914396887159533,8,257,0.0311284046692607003891050583658,182,135,272
21,1,4,628,70,0.272373540856031128404669260700,0,59,0.229571984435797665369649805447,0,71,0.276264591439688715953307392996,0,70,0.272373540856031128404669260700,0,75,0.291828793774319066147859922179,1,0,0,205,1028,0.199416342412451361867704280156,75,1028,0.0729571984435797665369649805447,27,76,330
22,1,5,3128,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1028,0,0,1,0,203,168,112
23,1,6,15628,0,0,0,70,0.272373540856031128404669260700,0,59,0.229571984435797665369649805447,1,0,0,0,67,0.260700389105058365758754863813,0,61,0.237354085603112840466926070039,257,1028,0.25,-1,4,-0.25,204,384,23
