point_ordinal,mask_index,class_index,point_index,n,T,mask_sha256
54,54,54,0,190537463234,30,eeb340903f48d32f3fc02e10a84756e463d959c8845c990e31088fea59edf368
55,55,55,0,190687861154,33,13653885ffb8301ec64131735417b9dc404deaef0426c6a53cf7966194f7b023
56,56,56,0,190691636834,25,9b0eea982e8504c2d47faca0f5023a39d5b36c8ffc4636bd9fb7de7cd5d6216a
57,57,57,0,190791849674,24,92ba682f90165923b0991356a71f41f5b26443a7ed78f8fc8205099b58fe29a1
58,58,58,0,190857452114,34,b07d59f0cf1e58c8c44a0c3ab5ba3ab731cbf71531ce307cb32051687ad72c8d
59,59,59,0,190861227794,27,f7ec8e370e0447f204fc032e7850f3617d1b3ca4d6b20aee9c7b402597399d9f
60,60,60,0,191111838554,32,e5edc1275d07503dc06dffe7ed14bb6f36775690f687c58df5ed678bc7c6dc2d
61,61,61,0,191246566114,65,67ea9d64c6852628d43e05c2ee6389fd4d560e8403608a58a4d6fc0705e091f4
62,62,62,0,191285205194,35,c308c482aad503db4bb2277d1569121d4ae9d29a2042d149b08c40cdafdae1fb
63,63,63,0,191300622554,23,c4fa63d2db45a467df674d947fbb73a3304bd73d871c97d42f2927e15a91ab75
64,64,64,0,191470213514,34,8f93310f27f4a5929c40a163f8382685be84a3edb78b13aba607ef02f65f3262
65,65,65,0,191737487314,53,35ab5973bc4d1888dcba8140647d72c5060968117a5add252dd12bfebcc43d65
66,66,66,0,192130224274,54,ca58a3d40eb42d6d85288bab8c6c865483363a99b0b5d01e88cd92299135b332
67,67,67,0,192217955474,27,8cc5622aeb55e1f980e97e411727ee38e56fbd27ad97b6ccc58a0a99395e1f2e
68,68,68,0,192375684874,49,7335c33d5906d08c60d5242b76a0bab280e08278982afc575ae37e300ce77a03
69,69,69,0,192402963794,37,79c942ee363ff065208d9967465f22ea7fcf10f1f3dfeac675a55c9be9767566
70,70,70,0,192472341914,24,7d46e3df07fe227159d2b0c7c38867d46654f01e383b6ab92c40fc53db35b34e
71,71,71,0,192487759274,39,184e0a8209f9f244aaa1927251bca318c53f9d955702691645194aa8e9de40b4
72,72,72,0,192722952674,35,b1a7848d2fa8e069c1cea65a2c795cd4b9a85c55ad53533529c358997515ce24
73,73,73,0,193420509554,34,049d21b46b9544cd6f9c2ce73e7fc6d3fea49dd812d37c121f3a74b24a2077d3
74,74,74,0,193486111994,28,66701e7a130a836632916db5078cda793cbb7fd99fd36339dd5baf1117e1b162
75,75,75,0,193655702954,35,b50f8076454c54995a89f4f9cb6cffa935daae4ee8c3ea6f6beffd2ca59cc418
76,76,76,0,193659478634,27,b702486a96536acc7090243d344bdd7a47f262463183558a990a6fac2855576b
77,77,77,0,194014077914,32,6537ddc875fe7b11cfc345cf66c784ac9c4e5042f32860b76f80d0ae2b9357b2
78,78,78,0,194083456034,25,4431ac79cd9db8e259c9d1f46dd874feb675544e74ed813171176b777ec945f4
79,79,79,0,194168251514,29,f2290569d02aa7311939fc9cf21394a8a91e4b6bf23e87eb1d3db3df3d9ee44c
80,80,80,0,194268464354,32,b42f0fbffd4133440a3b6726f237a338859452cc78c05d8b2ad52717218a733e
81,81,81,0,194353259834,31,a5f45692fbd8e28e8aeff2ecf89737eb7193ac1891c0d464c0a9df5a438830e6
82,82,82,0,194522850794,26,24e4155b058818148773ba4c5e09b8cfe509f5e0039f98dfd051e584ba1dd9c0
83,83,83,0,194592228914,34,717e21cf75c09b354ccf8722d7679ce03f81dc4c913aa138053be2620f0d395c
84,84,0,1,194977567234,58,16cb2407fbfd6396f91b2859caeff80b14b80b3bd17a124fab7370075e5af957
85,85,1,1,195185797274,24,d19bfaa64ea1a2dba5b98f49e77439d6cf442b565f7778999057d30cc442411e
86,86,2,1,195351612554,31,d06a7a3e67a04bc9dd82313ea6cce4f2dfb614502922d50ca7372d5d93593b4e
87,87,3,1,195521203514,30,f19b793636b366bee212a4eedf76714b8102ea5f26b9b553b55866ae416ccb0c
88,88,4,1,195524979194,23,85d90ea116b2a9941ba5b79601d7df8c8af4a4816e6aca4fadf976a4da9a8452
89,89,5,1,195749715314,21,3db31518c3ea62c0b0d381c23ccecb0e7dcdf84a53ad01ab6bff250580b5c365
90,90,6,1,195879578474,28,69e85eceb0b10b7ceb3272d3995d2265a6bfe0699e0dbaff1d12e956c623fbd0
91,91,7,1,196118547554,32,1cb63ca51abd598fee97b1e2e9b363b47eda7021e88788f4ff11eb165e99e9d7
92,92,8,1,196218760394,24,92656e09be009cf287444492676216b58e1f269c0fac291b58a7277c45f529c4
93,93,9,1,196352146594,64,981e03d83f48abf483b2c6bac29b4e7481612f5ef84cae62dd181ad425cf6119
94,94,10,1,196708340234,30,97b2671abcc1461206fbe860a72f1c8b769da6fc55ec2d8101dee8841bd39205
95,95,11,1,196878834074,38,89fff55b084e6d8d74a48a6752c6bd37c594a63f497a246d2e92d10c43a5d29e
96,96,12,1,196966502354,26,b0748b3de77cb7a315f712029846fd7c99212169a03a1e638b2df151275f4453
97,97,13,1,196990344154,50,0ac0a2f8359d8c7df69e20d275410d58d5972f3a1a897bccd57c97041b4a3229
98,98,14,1,197051297834,30,338d8ebe75ebfea91d841f512b1487d97be41711598bcb23d5780b2e2e678961
99,99,15,1,197136093314,28,74f08429e9067fd539ba4811ba1598e050fdf48d26a48e5a5b6c69efe3a196a4
100,100,16,1,197321101634,36,e958217f005587b783aac5bf8ba630eaaeefd772671fc105749381189c354040
101,101,17,1,197775818074,63,b8b8c077211ed3621463abcb4aa585d4287e7b38ff145561ee31701a76c886d7
102,102,18,1,197814457154,24,4941e8c7ac6d8beebe7d0132d409dcec57705b59b6f5d3ce9784d12d6fbcd1f8
103,103,19,1,197829874514,39,7864e5c940b8a875f414a902703e18cb00ec7817923496877bcb880b808a24cf
104,104,20,1,197914669994,37,8de1b780332ec7d5ea044d94f738b6852871dc742712916c80f631f581fcf5d5
105,105,21,1,198253851914,30,fa027d242520116eacd97db07d6414ffb1731bc1bc88bc9fdf4197e927f011c1
106,106,22,1,198315831394,63,0d173e1ae25491734a7c8d9469691d6b2f4615a4b46fdc7e348c9f2c4bdbdea3
107,107,23,1,198573840794,28,7978a2249c714c0302b92d9e1c4e5639dd74881a8d0b815d46efe9a95fdec597
108,108,24,1,198747207434,35,d728c3394365edf2a8330b16206ae656789cd2076075f47fd20d6f63146e709a
109,109,25,1,198913022714,37,23c65b12680f9f6762b26c52db43ec86eb10ba38c70c0bb99edbdb662e8e95b9
110,110,26,1,198916798394,30,fd77effa20cee7cb11ff269fd56e5b2745ec05ebe29dc9e3ea13227b48590cc8
111,111,27,1,199001593874,27,7cf19fc492511338f58219c11f867912d85136b2a4c29c44c11b7dc7f04bd511
112,112,28,1,199017011234,31,90ddb695537410cc4fa891fcb21f4b5749284ca17940b4afa718e2a1600281ab
113,113,29,1,199086389354,20,be6c624efdc838aa0ecbe34b1a76472d0eed26ae3401f627c42947eca82300dd
114,114,30,1,199252204634,28,3ac85d43dd3a7909921d1ff8686bdbed4c4c1807226d74be0fa8909b0cd75132
