schema	a303656-weighted-enumerator-certificate-v1
implementation	B-pair-centric-fullscan-accumulation
rows	28227969
ordered_result_digest	fa6fbb4176383292bcc35a11e844725f00cacfa5be96677c6538bbe461f2550a
top	pool	3	1,9,21,205	6152b22cd714b76f6a5996ea6855d59ae3564d699a529ea5295a57ddeb3965519aa3d6456f8a5f75e7384e7194a6e96d79ab2e	218	57979	58181	116160	NONE
top	pool	4	1,9,21,251	6152b22cd714b76f6a5996eae855d59ae3564d699a529ea5295a57ddeb3965519aa3d6456f8a5f75e5384e7194a6e96d79ab2e	218	57979	58181	116160	NONE
top	pool	5	1,9,21,366	6152b22cd714b76f6a5996eae855d59ae3564d699a529ea5295a57ddeb3965519aa3d6456f8a5f75e7384e7194a6e96d79ab26	218	57979	58181	116160	NONE
top	pool	6	1,9,21,389	6152b22cd714b76b6a5996eae855d59ae3564d699a529ea5295a57ddeb3965519aa3d6456f8a5f75e7384e7194a6e96d79ab2e	218	57979	58181	116160	NONE
top	pool	7	1,9,21,527	6152b22cd714b76f6a5996e2e855d59ae3564d699a529ea5295a57ddeb3965519aa3d6456f8a5f75e7384e7194a6e96d79ab2e	218	57979	58181	116160	NONE
top	pool	8	1,9,32,21	7152b22cd714a76f6a5996eae855d59ae3544d699a529ea5295a579deb3965519aa3d6456f8a5775e7384e7194a6e96d79aa2e	215	57979	58181	116160	NONE
target	CAL-216	2,41,74,504	b665c5713a8e7394a5796a5996b26a55558ef214472b9a5fd7ad28cb5597e3384553daae976539ca525da5385e59bdae696759	216	25936	16477184	25835	16520582	51771	16500472	2,41,8,21
target	CAL-227	2,41,50,504	f66d4d71388e5b35a5696a59b7a32c5555afe614452bbb7f97a5286bd595e33865d7deb69765ad9a5255a5bcde519eaee9755b	227	19665	21235868	19601	21342476	39266	21288622	2,41,50,21
target	CAL-230	2,7,32,504	3cc74df3ac9a5ad6adea4adb9ca2a8d573caaa9765ebaad335bd6acb59bda2a86d7beaaa764d2bab761ca5297e59deaa2b6d5f	230	19010	22098626	19047	22062754	38057	22083675	2,7,32,21
target	G231-COMMON	2,7,50,17	5ecf4df3288b5ab7a7aa4adbf5a32cc571aba69675a9bbf6bcad28eadd9ca2b865ddbeba364daf9a721ca5acfad996eaaa5d53	231	0	28224428	0	28224428	0	28224428	2,7,50,17
cross	odd_opt	57979	1	58181	1	116160	1
cross	even_opt	57979	1	58181	1	116160	1
cross	pool_opt	57979	1	58181	1	116160	1
