search,rank,shift,count,fraction
allodd_dual_first100m_primary,3,6,11649385,0.116493849999999996
allodd_dual_first100m_primary,4,8,10499039,0.104990390000000003
allodd_dual_first100m_primary,5,10,8116620,0.0811661999999999939
allodd_dual_first100m_primary,6,14,6238252,0.0623825199999999969
allodd_dual_first100m_primary,7,28,5910181,0.0591018099999999977
allodd_dual_first100m_primary,8,32,4475530,0.0447552999999999979
allodd_dual_first100m_primary,9,26,4247519,0.0424751900000000029
allodd_dual_first100m_primary,10,52,2946559,0.0294655899999999998
allodd_dual_first100m_primary,11,34,2878036,0.0287803600000000014
allodd_dual_first100m_primary,12,128,1832868,0.01832868
allodd_dual_first100m_primary,13,82,1755720,0.0175571999999999985
allodd_dual_first100m_primary,14,86,1684727,0.016847270000000001
allodd_dual_first100m_primary,15,126,1373528,0.0137352800000000008
allodd_dual_first100m_primary,16,152,1153836,0.0115383599999999992
allodd_dual_first100m_primary,17,106,1037793,0.0103779300000000005
allodd_dual_first100m_primary,18,244,835433,0.00835433000000000009
allodd_dual_first100m_primary,19,134,645609,0.00645609000000000027
allodd_dual_first100m_primary,20,248,569311,0.00569311000000000036
allodd_dual_first100m_primary,21,268,515766,0.00515765999999999968
allodd_dual_first100m_primary,22,206,379304,0.00379304000000000013
allodd_dual_first100m_primary,23,368,304426,0.00304426000000000002
allodd_dual_first100m_primary,24,628,258999,0.00258998999999999991
allodd_dual_first100m_primary,25,634,234601,0.00234600999999999994
allodd_dual_first100m_primary,26,652,215200,0.00215199999999999983
allodd_dual_first100m_primary,27,626,215179,0.00215179000000000021
allodd_dual_first100m_primary,28,706,130773,0.00130773
allodd_dual_first100m_primary,29,730,103045,0.00103045000000000003
allodd_dual_first100m_primary,30,868,89980,0.000899799999999999971
exact1_dual_band282_primary,1,2,15604887,0.156048870000000006
exact1_dual_band282_primary,2,4,14249890,0.142498900000000012
exact1_dual_band282_primary,3,6,11809836,0.118098359999999999
exact1_dual_band282_primary,4,8,10669331,0.10669331
exact1_dual_band282_primary,5,10,8257779,0.0825777899999999981
exact1_dual_band282_primary,6,14,6426007,0.0642600700000000025
exact1_dual_band282_primary,7,28,5516362,0.0551636199999999965
exact1_dual_band282_primary,8,32,4391599,0.043915990000000002
exact1_dual_band282_primary,9,26,4327030,0.0432702999999999977
exact1_dual_band282_primary,10,34,2926204,0.0292620399999999996
exact1_dual_band282_primary,11,52,2757177,0.0275717699999999989
exact1_dual_band282_primary,12,82,1796430,0.017964299999999999
exact1_dual_band282_primary,13,86,1652333,0.0165233299999999993
exact1_dual_band282_primary,14,128,1625415,0.0162541499999999985
exact1_dual_band282_primary,15,126,1256918,0.0125691799999999992
exact1_dual_band282_primary,16,106,1082879,0.0108287899999999996
exact1_dual_band282_primary,17,152,1008890,0.0100888999999999996
exact1_dual_band282_primary,18,244,708581,0.00708580999999999968
exact1_dual_band282_primary,19,134,636511,0.00636511000000000021
exact1_dual_band282_primary,20,248,512078,0.00512078000000000012
exact1_dual_band282_primary,21,268,431026,0.00431025999999999979
exact1_dual_band282_primary,22,206,377109,0.00377108999999999995
exact1_dual_band282_primary,23,368,267709,0.00267709000000000003
exact1_dual_band282_primary,24,626,217190,0.00217190000000000005
exact1_dual_band282_primary,25,634,214234,0.00214233999999999996
exact1_dual_band282_primary,26,628,212040,0.00212040000000000015
exact1_dual_band282_primary,27,652,183332,0.00183332000000000005
exact1_dual_band282_primary,28,706,129538,0.00129538000000000006
exact1_dual_band282_primary,29,730,102169,0.00102169000000000001
exact1_dual_band282_primary,30,868,73449,0.000734489999999999969
