n,T
240000020722,71
240000020723,58
240000020724,92
240000020725,58
240000020726,81
240000020727,74
240000020728,66
240000020729,57
240000020730,73
240000020731,47
240000020732,66
240000020733,85
240000020734,32
240000020735,49
240000020736,79
240000020737,55
240000020738,39
240000020739,85
240000020740,48
240000020741,54
240000020742,94
240000020743,38
240000020744,56
240000020745,90
240000020746,57
240000020747,66
240000020748,82
240000020749,50
240000020750,62
240000020751,83
240000020752,62
240000020753,59
240000020754,78
240000020755,52
240000020756,62
240000020757,75
240000020758,39
240000020759,51
240000020760,77
240000020761,43
240000020762,46
240000020763,74
240000020764,50
240000020765,53
240000020766,88
240000020767,51
240000020768,36
240000020769,90
240000020770,67
240000020771,47
240000020772,91
240000020773,42
240000020774,74
240000020775,71
240000020776,54
240000020777,58
240000020778,100
240000020779,54
240000020780,70
240000020781,82
240000020782,45
240000020783,48
240000020784,84
240000020785,52
240000020786,41
240000020787,67
240000020788,42
240000020789,59
240000020790,78
240000020791,52
240000020792,32
240000020793,68
240000020794,60
240000020795,54
240000020796,80
240000020797,50
240000020798,68
240000020799,96
240000020800,63
240000020801,52
240000020802,80
240000020803,59
240000020804,74
240000020805,80
240000020806,44
240000020807,53
240000020808,73
240000020809,51
240000020810,42
240000020811,66
240000020812,40
240000020813,43
240000020814,88
240000020815,51
240000020816,32
240000020817,78
240000020818,65
240000020819,46
240000020820,82
240000020821,60
240000020822,76
240000020823,67
240000020824,62
240000020825,49
240000020826,82
240000020827,44
240000020828,73
240000020829,78
240000020830,35
240000020831,52
240000020832,99
240000020833,57
240000020834,39
240000020835,77
240000020836,31
240000020837,57
240000020838,81
240000020839,48
240000020840,39
240000020841,79
240000020842,56
240000020843,56
240000020844,88
240000020845,46
240000020846,75
240000020847,78
240000020848,62
240000020849,45
240000020850,77
240000020851,57
240000020852,73
240000020853,93
240000020854,52
240000020855,63
240000020856,89
240000020857,54
240000020858,43
240000020859,87
240000020860,31
240000020861,64
240000020862,74
240000020863,46
240000020864,49
240000020865,96
240000020866,62
240000020867,44
240000020868,82
240000020869,47
240000020870,78
240000020871,80
240000020872,64
240000020873,56
240000020874,82
240000020875,46
240000020876,70
240000020877,75
240000020878,46
240000020879,54
240000020880,70
240000020881,55
240000020882,43
240000020883,71
240000020884,47
240000020885,50
240000020886,82
240000020887,61
240000020888,44
240000020889,76
240000020890,60
240000020891,55
240000020892,84
240000020893,50
240000020894,67
240000020895,82
240000020896,60
240000020897,52
240000020898,92
240000020899,60
240000020900,61
240000020901,77
240000020902,38
240000020903,47
240000020904,69
240000020905,44
240000020906,43
240000020907,76
240000020908,37
240000020909,64
240000020910,94
240000020911,42
240000020912,38
240000020913,79
240000020914,60
240000020915,50
240000020916,90
240000020917,53
240000020918,73
240000020919,77
240000020920,72
240000020921,52
240000020922,70
240000020923,53
240000020924,68
240000020925,82
240000020926,33
240000020927,56
240000020928,87
240000020929,39
240000020930,38
240000020931,84
240000020932,42
240000020933,49
240000020934,106
240000020935,58
240000020936,43
240000020937,75
240000020938,66
240000020939,53
240000020940,92
240000020941,39
240000020942,92
240000020943,75
240000020944,65
240000020945,60
240000020946,83
240000020947,48
240000020948,64
240000020949,76
240000020950,33
240000020951,57
240000020952,88
240000020953,66
240000020954,50
240000020955,63
240000020956,40
240000020957,45
240000020958,96
240000020959,51
240000020960,30
240000020961,72
240000020962,62
240000020963,42
240000020964,93
240000020965,58
240000020966,76
240000020967,79
240000020968,69
240000020969,58
240000020970,78
240000020971,50
240000020972,66
240000020973,83
240000020974,29
240000020975,61
240000020976,75
240000020977,55
240000020978,39
240000020979,72
240000020980,44
240000020981,38
240000020982,90
240000020983,48
240000020984,33
240000020985,70
240000020986,76
240000020987,50
240000020988,91
240000020989,49
240000020990,74
240000020991,76
240000020992,66
240000020993,50
240000020994,76
240000020995,37
240000020996,66
240000020997,87
240000020998,29
240000020999,46
240000021000,80
240000021001,50
240000021002,35
240000021003,72
240000021004,40
240000021005,48
240000021006,93
240000021007,64
240000021008,38
240000021009,70
240000021010,55
240000021011,60
240000021012,85
240000021013,44
240000021014,64
240000021015,75
240000021016,63
240000021017,52
240000021018,76
240000021019,60
240000021020,75
240000021021,86
240000021022,39
240000021023,58
240000021024,76
240000021025,50
240000021026,39
240000021027,87
240000021028,29
240000021029,54
240000021030,75
240000021031,53
240000021032,38
240000021033,85
240000021034,57
240000021035,54
240000021036,78
240000021037,49
240000021038,63
240000021039,79
240000021040,70
240000021041,52
240000021042,83
240000021043,44
240000021044,75
240000021045,80
240000021046,47
240000021047,52
240000021048,83
240000021049,52
240000021050,29
240000021051,66
240000021052,40
240000021053,49
240000021054,73
240000021055,58
240000021056,31
240000021057,88
240000021058,62
240000021059,51
240000021060,87
240000021061,51
240000021062,75
240000021063,71
240000021064,59
240000021065,42
240000021066,71
240000021067,51
240000021068,55
240000021069,65
240000021070,35
240000021071,52
240000021072,69
240000021073,50
240000021074,39
240000021075,81
240000021076,28
240000021077,52
240000021078,74
240000021079,41
240000021080,35
240000021081,72
240000021082,62
240000021083,53
240000021084,81
240000021085,59
240000021086,62
240000021087,74
240000021088,64
240000021089,54
240000021090,86
240000021091,44
240000021092,59
240000021093,77
240000021094,40
240000021095,50
240000021096,78
240000021097,39
240000021098,31
240000021099,81
240000021100,30
240000021101,51
240000021102,72
240000021103,51
240000021104,36
240000021105,74
240000021106,65
240000021107,66
240000021108,87
240000021109,49
240000021110,67
240000021111,88
240000021112,66
240000021113,54
240000021114,83
240000021115,53
240000021116,76
240000021117,81
240000021118,47
240000021119,50
240000021120,76
240000021121,51
240000021122,37
240000021123,81
240000021124,39
240000021125,55
240000021126,79
240000021127,64
240000021128,30
240000021129,84
240000021130,68
240000021131,52
240000021132,92
240000021133,38
240000021134,77
240000021135,71
240000021136,71
240000021137,53
240000021138,82
240000021139,50
240000021140,85
240000021141,86
240000021142,33
240000021143,44
240000021144,90
240000021145,55
240000021146,33
240000021147,76
240000021148,31
240000021149,50
240000021150,87
240000021151,62
240000021152,36
240000021153,84
240000021154,66
240000021155,42
240000021156,80
240000021157,38
240000021158,73
240000021159,74
240000021160,69
240000021161,52
240000021162,84
240000021163,42
240000021164,68
240000021165,80
240000021166,41
240000021167,54
240000021168,71
240000021169,55
240000021170,40
240000021171,88
240000021172,31
240000021173,61
240000021174,88
240000021175,56
240000021176,45
240000021177,73
240000021178,60
240000021179,52
240000021180,71
240000021181,45
240000021182,65
240000021183,73
240000021184,64
240000021185,52
240000021186,71
240000021187,58
240000021188,64
240000021189,83
240000021190,31
240000021191,55
240000021192,69
240000021193,45
240000021194,28
240000021195,94
240000021196,43
240000021197,56
240000021198,81
240000021199,52
240000021200,33
240000021201,80
240000021202,71
240000021203,51
240000021204,100
240000021205,46
240000021206,85
240000021207,70
240000021208,71
240000021209,55
240000021210,83
240000021211,47
240000021212,65
240000021213,78
240000021214,34
240000021215,48
240000021216,78
240000021217,58
240000021218,28
240000021219,74
240000021220,43
240000021221,56
240000021222,86
240000021223,56
240000021224,34
240000021225,70
240000021226,68
240000021227,48
240000021228,103
240000021229,46
240000021230,75
240000021231,84
240000021232,60
240000021233,41
240000021234,65
240000021235,57
240000021236,69
240000021237,83
240000021238,30
240000021239,54
240000021240,65
240000021241,51
240000021242,35
240000021243,74
240000021244,36
240000021245,38
240000021246,87
240000021247,58
240000021248,43
240000021249,73
240000021250,66
240000021251,59
240000021252,72
240000021253,53
240000021254,70
240000021255,80
240000021256,63
240000021257,49
240000021258,71
240000021259,55
240000021260,60
240000021261,106
240000021262,40
240000021263,49
240000021264,88
240000021265,48
240000021266,38
240000021267,70
240000021268,39
240000021269,50
240000021270,85
240000021271,44
240000021272,45
240000021273,80
240000021274,70
240000021275,58
240000021276,75
240000021277,42
240000021278,74
240000021279,71
240000021280,64
240000021281,46
240000021282,78
240000021283,56
240000021284,71
240000021285,88
240000021286,46
240000021287,53
240000021288,72
240000021289,51
240000021290,32
240000021291,81
240000021292,45
240000021293,46
240000021294,79
240000021295,61
240000021296,31
240000021297,89
240000021298,58
240000021299,40
240000021300,72
240000021301,49
240000021302,66
240000021303,80
240000021304,73
240000021305,61
240000021306,83
240000021307,55
240000021308,72
240000021309,82
240000021310,33
240000021311,62
240000021312,79
240000021313,40
240000021314,34
240000021315,89
240000021316,40
240000021317,54
240000021318,92
240000021319,52
240000021320,40
240000021321,82
240000021322,71
240000021323,46
240000021324,84
240000021325,44
240000021326,78
240000021327,70
240000021328,71
240000021329,58
240000021330,78
240000021331,48
240000021332,76
240000021333,73
240000021334,30
240000021335,54
240000021336,88
240000021337,58
240000021338,41
240000021339,83
240000021340,37
240000021341,54
240000021342,80
240000021343,46
240000021344,39
240000021345,72
240000021346,63
240000021347,47
240000021348,89
240000021349,54
240000021350,70
240000021351,69
240000021352,59
240000021353,58
240000021354,73
240000021355,58
240000021356,70
240000021357,88
240000021358,36
240000021359,62
240000021360,85
240000021361,49
240000021362,30
240000021363,79
240000021364,43
240000021365,58
240000021366,70
240000021367,55
240000021368,42
240000021369,70
240000021370,54
240000021371,46
240000021372,73
240000021373,54
240000021374,68
240000021375,78
240000021376,61
240000021377,46
240000021378,83
240000021379,60
240000021380,71
240000021381,80
240000021382,42
240000021383,61
240000021384,85
240000021385,47
240000021386,37
240000021387,77
240000021388,45
240000021389,41
240000021390,74
240000021391,53
240000021392,32
240000021393,88
240000021394,66
240000021395,42
240000021396,71
240000021397,52
240000021398,63
240000021399,73
240000021400,58
240000021401,42
240000021402,79
240000021403,55
240000021404,68
240000021405,77
240000021406,35
240000021407,45
240000021408,77
240000021409,54
240000021410,43
240000021411,75
240000021412,37
240000021413,50
240000021414,61
240000021415,42
240000021416,31
240000021417,78
240000021418,62
240000021419,55
240000021420,75
240000021421,62
240000021422,58
240000021423,78
240000021424,54
240000021425,45
240000021426,88
240000021427,51
240000021428,71
240000021429,77
240000021430,46
240000021431,62
240000021432,77
240000021433,41
240000021434,41
240000021435,76
240000021436,40
240000021437,51
240000021438,88
240000021439,53
240000021440,51
240000021441,78
240000021442,68
240000021443,49
240000021444,91
240000021445,38
240000021446,81
240000021447,73
240000021448,84
240000021449,48
240000021450,82
240000021451,64
240000021452,67
240000021453,82
240000021454,38
240000021455,58
240000021456,89
240000021457,52
240000021458,29
240000021459,92
240000021460,37
240000021461,44
240000021462,76
240000021463,47
240000021464,42
240000021465,77
240000021466,55
240000021467,54
240000021468,93
240000021469,51
240000021470,71
240000021471,75
240000021472,60
240000021473,62
240000021474,70
240000021475,54
240000021476,56
240000021477,89
240000021478,32
240000021479,56
240000021480,80
240000021481,56
240000021482,39
240000021483,72
240000021484,35
240000021485,42
240000021486,86
240000021487,49
240000021488,37
240000021489,78
240000021490,64
240000021491,47
240000021492,87
240000021493,58
240000021494,75
240000021495,68
240000021496,55
240000021497,54
240000021498,78
240000021499,52
240000021500,58
240000021501,77
240000021502,46
240000021503,58
240000021504,80
240000021505,43
240000021506,37
240000021507,72
240000021508,38
240000021509,38
240000021510,76
240000021511,59
240000021512,37
240000021513,81
240000021514,65
240000021515,65
240000021516,69
240000021517,44
240000021518,67
240000021519,92
240000021520,63
240000021521,56
240000021522,74
240000021523,48
240000021524,68
240000021525,93
240000021526,34
240000021527,52
240000021528,80
240000021529,45
240000021530,47
240000021531,88
240000021532,46
240000021533,52
240000021534,72
240000021535,49
240000021536,45
240000021537,87
240000021538,53
240000021539,55
240000021540,86
240000021541,58
240000021542,64
240000021543,73
240000021544,61
240000021545,58
240000021546,77
240000021547,58
240000021548,78
240000021549,75
240000021550,38
240000021551,47
240000021552,78
240000021553,43
240000021554,41
240000021555,79
240000021556,41
240000021557,54
240000021558,93
240000021559,68
240000021560,40
240000021561,75
240000021562,61
240000021563,51
240000021564,77
240000021565,39
240000021566,69
240000021567,74
240000021568,65
240000021569,36
240000021570,76
240000021571,48
240000021572,71
240000021573,79
240000021574,48
240000021575,48
240000021576,66
240000021577,44
240000021578,35
240000021579,64
240000021580,35
240000021581,49
240000021582,75
240000021583,49
240000021584,36
240000021585,73
240000021586,58
240000021587,59
240000021588,61
240000021589,53
240000021590,67
240000021591,77
240000021592,61
240000021593,54
240000021594,74
240000021595,54
240000021596,67
240000021597,88
240000021598,28
240000021599,56
240000021600,76
240000021601,45
240000021602,52
240000021603,89
240000021604,40
240000021605,43
240000021606,85
240000021607,46
240000021608,30
240000021609,74
240000021610,64
240000021611,69
240000021612,76
240000021613,55
240000021614,83
240000021615,75
240000021616,56
240000021617,61
240000021618,86
240000021619,58
240000021620,78
240000021621,86
240000021622,52
240000021623,48
240000021624,99
240000021625,50
240000021626,43
240000021627,86
240000021628,42
240000021629,41
240000021630,81
240000021631,41
240000021632,22
240000021633,75
240000021634,59
240000021635,55
240000021636,91
240000021637,51
240000021638,79
240000021639,89
240000021640,57
240000021641,54
240000021642,81
240000021643,60
240000021644,62
240000021645,92
240000021646,34
240000021647,46
240000021648,73
240000021649,53
240000021650,26
240000021651,75
240000021652,42
240000021653,42
240000021654,92
240000021655,49
240000021656,45
240000021657,75
240000021658,66
240000021659,52
240000021660,89
240000021661,42
240000021662,76
240000021663,63
240000021664,63
240000021665,48
240000021666,69
240000021667,46
240000021668,66
240000021669,82
240000021670,40
240000021671,52
240000021672,77
240000021673,60
240000021674,45
240000021675,70
240000021676,35
240000021677,55
240000021678,71
240000021679,45
240000021680,37
240000021681,67
240000021682,60
240000021683,55
240000021684,93
240000021685,39
240000021686,60
240000021687,62
240000021688,55
240000021689,51
240000021690,90
240000021691,60
240000021692,66
240000021693,72
240000021694,44
240000021695,56
240000021696,85
240000021697,49
240000021698,32
240000021699,81
240000021700,34
240000021701,65
240000021702,67
240000021703,53
240000021704,28
240000021705,79
240000021706,62
240000021707,52
240000021708,78
240000021709,51
240000021710,67
240000021711,76
240000021712,65
240000021713,47
240000021714,73
240000021715,45
240000021716,64
240000021717,78
240000021718,34
240000021719,54
240000021720,71
240000021721,43
240000021722,28
240000021723,88
240000021724,29
240000021725,56
240000021726,75
240000021727,56
240000021728,45
240000021729,67
240000021730,57
240000021731,53
240000021732,90
240000021733,53
240000021734,72
240000021735,74
240000021736,57
240000021737,43
240000021738,77
240000021739,56
240000021740,66
240000021741,73
240000021742,45
240000021743,47
240000021744,68
240000021745,53
240000021746,34
240000021747,83
240000021748,35
240000021749,54
240000021750,87
240000021751,42
240000021752,34
240000021753,70
240000021754,71
240000021755,48
240000021756,87
240000021757,47
240000021758,70
240000021759,69
240000021760,58
240000021761,47
240000021762,71
240000021763,40
240000021764,61
240000021765,77
240000021766,36
240000021767,52
240000021768,76
240000021769,51
240000021770,44
240000021771,64
240000021772,49
240000021773,63
240000021774,80
240000021775,53
240000021776,37
240000021777,74
240000021778,75
240000021779,49
240000021780,73
240000021781,52
240000021782,67
240000021783,72
240000021784,65
240000021785,41
240000021786,73
240000021787,59
240000021788,67
240000021789,92
240000021790,38
240000021791,46
240000021792,82
240000021793,44
240000021794,27
240000021795,88
240000021796,39
240000021797,47
240000021798,91
240000021799,44
240000021800,34
240000021801,91
240000021802,61
240000021803,49
240000021804,80
240000021805,58
240000021806,72
240000021807,75
240000021808,69
240000021809,57
240000021810,70
240000021811,50
240000021812,67
240000021813,69
240000021814,34
240000021815,56
240000021816,77
240000021817,55
240000021818,39
240000021819,80
240000021820,36
240000021821,35
240000021822,98
240000021823,47
240000021824,40
240000021825,81
240000021826,69
240000021827,48
240000021828,79
240000021829,44
240000021830,63
240000021831,77
240000021832,56
240000021833,70
240000021834,77
240000021835,46
240000021836,69
240000021837,85
240000021838,38
240000021839,48
240000021840,69
240000021841,45
240000021842,39
240000021843,76
240000021844,36
240000021845,62
240000021846,81
240000021847,55
240000021848,35
240000021849,83
240000021850,60
240000021851,57
240000021852,71
240000021853,60
240000021854,67
240000021855,87
240000021856,59
240000021857,58
240000021858,73
240000021859,65
240000021860,71
240000021861,82
240000021862,37
240000021863,52
240000021864,81
240000021865,50
240000021866,35
240000021867,81
240000021868,43
240000021869,70
240000021870,70
240000021871,65
240000021872,46
240000021873,90
240000021874,62
240000021875,41
240000021876,77
240000021877,60
240000021878,68
240000021879,74
240000021880,62
240000021881,46
240000021882,86
240000021883,44
240000021884,72
240000021885,87
240000021886,29
240000021887,43
240000021888,73
240000021889,51
240000021890,35
240000021891,75
240000021892,35
240000021893,46
240000021894,70
240000021895,49
240000021896,34
240000021897,86
240000021898,63
240000021899,48
240000021900,86
240000021901,42
240000021902,73
240000021903,74
240000021904,67
240000021905,40
240000021906,84
240000021907,57
240000021908,65
240000021909,69
240000021910,39
240000021911,53
240000021912,66
240000021913,41
240000021914,59
240000021915,72
240000021916,44
240000021917,50
240000021918,76
240000021919,50
240000021920,39
240000021921,82
240000021922,70
240000021923,56
240000021924,84
240000021925,50
240000021926,77
240000021927,78
240000021928,73
240000021929,53
240000021930,74
240000021931,47
240000021932,69
240000021933,77
240000021934,42
240000021935,62
240000021936,87
240000021937,44
240000021938,39
240000021939,86
240000021940,44
240000021941,53
240000021942,85
240000021943,61
240000021944,43
240000021945,85
240000021946,72
240000021947,51
240000021948,73
240000021949,46
240000021950,69
240000021951,78
240000021952,66
240000021953,61
240000021954,83
240000021955,55
240000021956,67
240000021957,83
240000021958,38
240000021959,48
240000021960,65
240000021961,46
240000021962,37
240000021963,77
240000021964,33
240000021965,67
240000021966,84
240000021967,46
240000021968,33
240000021969,81
240000021970,65
240000021971,33
240000021972,79
240000021973,58
240000021974,70
240000021975,67
240000021976,72
240000021977,57
240000021978,83
240000021979,61
240000021980,74
240000021981,87
240000021982,31
240000021983,54
240000021984,78
240000021985,48
240000021986,38
240000021987,86
240000021988,37
240000021989,46
240000021990,78
240000021991,56
240000021992,39
240000021993,77
240000021994,62
240000021995,53
240000021996,92
240000021997,57
240000021998,81
240000021999,76
240000022000,59
240000022001,59
240000022002,72
240000022003,53
240000022004,63
240000022005,74
240000022006,41
240000022007,62
240000022008,71
240000022009,55
240000022010,33
240000022011,84
240000022012,43
240000022013,52
240000022014,87
240000022015,54
240000022016,45
240000022017,79
240000022018,72
240000022019,53
240000022020,84
240000022021,48
240000022022,69
240000022023,79
240000022024,58
240000022025,56
240000022026,72
240000022027,42
240000022028,59
240000022029,82
240000022030,37
240000022031,59
240000022032,74
240000022033,40
240000022034,47
240000022035,76
240000022036,40
240000022037,46
240000022038,77
240000022039,44
240000022040,50
240000022041,82
240000022042,70
240000022043,41
240000022044,78
240000022045,53
240000022046,78
240000022047,85
240000022048,55
240000022049,52
240000022050,82
240000022051,45
240000022052,66
240000022053,85
240000022054,38
240000022055,41
240000022056,88
240000022057,41
240000022058,40
240000022059,81
240000022060,36
240000022061,54
240000022062,76
240000022063,62
240000022064,35
240000022065,83
240000022066,63
240000022067,66
240000022068,80
240000022069,47
240000022070,73
240000022071,69
240000022072,58
240000022073,46
240000022074,61
240000022075,53
240000022076,70
240000022077,81
240000022078,27
240000022079,56
240000022080,76
240000022081,45
240000022082,36
240000022083,81
240000022084,32
240000022085,51
240000022086,88
240000022087,52
240000022088,44
240000022089,85
240000022090,59
240000022091,51
240000022092,73
240000022093,59
240000022094,67
240000022095,72
240000022096,56
240000022097,64
240000022098,64
240000022099,43
240000022100,65
240000022101,75
240000022102,45
240000022103,56
240000022104,76
240000022105,51
240000022106,39
240000022107,68
240000022108,57
240000022109,46
240000022110,82
240000022111,50
240000022112,50
240000022113,80
240000022114,66
240000022115,47
240000022116,86
240000022117,50
240000022118,67
240000022119,88
240000022120,69
240000022121,52
240000022122,79
240000022123,52
240000022124,73
240000022125,71
240000022126,32
240000022127,49
240000022128,71
240000022129,52
240000022130,40
240000022131,78
240000022132,36
240000022133,45
240000022134,81
240000022135,50
240000022136,33
240000022137,71
240000022138,64
240000022139,62
240000022140,79
240000022141,50
240000022142,58
240000022143,77
240000022144,61
240000022145,51
240000022146,81
240000022147,56
240000022148,62
240000022149,82
240000022150,31
240000022151,48
240000022152,76
240000022153,54
240000022154,39
240000022155,60
240000022156,39
240000022157,50
240000022158,91
240000022159,56
240000022160,44
240000022161,82
240000022162,73
240000022163,51
240000022164,94
240000022165,42
240000022166,73
240000022167,76
240000022168,59
240000022169,45
240000022170,84
240000022171,40
240000022172,59
240000022173,81
240000022174,47
240000022175,41
240000022176,77
240000022177,53
240000022178,41
240000022179,85
240000022180,33
240000022181,54
240000022182,78
240000022183,66
240000022184,33
240000022185,68
240000022186,66
240000022187,47
240000022188,88
240000022189,41
240000022190,70
240000022191,75
240000022192,67
240000022193,47
240000022194,84
240000022195,48
240000022196,82
240000022197,87
240000022198,45
240000022199,43
240000022200,81
240000022201,42
240000022202,40
240000022203,86
240000022204,26
240000022205,54
240000022206,66
240000022207,55
240000022208,45
240000022209,82
240000022210,58
240000022211,58
240000022212,85
240000022213,48
240000022214,66
240000022215,67
240000022216,68
240000022217,51
240000022218,93
240000022219,55
240000022220,81
240000022221,83
240000022222,36
240000022223,50
240000022224,59
240000022225,46
240000022226,39
240000022227,84
240000022228,31
240000022229,56
240000022230,72
240000022231,48
240000022232,49
240000022233,76
240000022234,65
240000022235,52
240000022236,75
240000022237,46
240000022238,73
240000022239,76
240000022240,61
240000022241,57
240000022242,78
240000022243,55
240000022244,60
240000022245,80
240000022246,30
240000022247,50
240000022248,58
240000022249,44
240000022250,37
240000022251,86
240000022252,34
240000022253,49
240000022254,80
240000022255,43
240000022256,41
240000022257,80
240000022258,65
240000022259,59
240000022260,84
240000022261,49
240000022262,74
240000022263,90
240000022264,59
240000022265,48
240000022266,78
240000022267,50
240000022268,65
240000022269,68
240000022270,49
240000022271,54
240000022272,72
240000022273,50
240000022274,43
240000022275,76
240000022276,37
240000022277,56
240000022278,84
240000022279,48
240000022280,33
240000022281,83
240000022282,67
240000022283,54
240000022284,103
240000022285,34
240000022286,67
240000022287,92
240000022288,79
240000022289,61
240000022290,83
240000022291,44
240000022292,69
240000022293,75
240000022294,45
240000022295,47
240000022296,83
240000022297,50
240000022298,31
240000022299,83
240000022300,37
240000022301,51
240000022302,79
240000022303,48
240000022304,28
240000022305,76
240000022306,61
240000022307,46
240000022308,81
240000022309,47
240000022310,68
240000022311,78
240000022312,68
240000022313,49
240000022314,67
240000022315,57
240000022316,51
240000022317,96
240000022318,28
240000022319,52
240000022320,81
240000022321,49
240000022322,44
240000022323,71
240000022324,38
240000022325,51
240000022326,95
240000022327,46
240000022328,39
240000022329,87
240000022330,61
240000022331,59
240000022332,92
240000022333,43
240000022334,55
240000022335,77
240000022336,55
240000022337,45
240000022338,71
240000022339,48
240000022340,68
240000022341,70
240000022342,39
240000022343,40
240000022344,84
240000022345,53
240000022346,38
240000022347,84
240000022348,39
240000022349,47
240000022350,96
240000022351,64
240000022352,35
240000022353,75
240000022354,67
240000022355,60
240000022356,78
240000022357,48
240000022358,69
240000022359,81
240000022360,45
240000022361,49
240000022362,82
240000022363,46
240000022364,67
240000022365,79
240000022366,36
240000022367,57
240000022368,73
240000022369,38
240000022370,38
240000022371,82
240000022372,43
240000022373,48
240000022374,74
240000022375,57
240000022376,41
240000022377,83
240000022378,62
240000022379,45
240000022380,82
240000022381,61
240000022382,71
240000022383,98
240000022384,71
240000022385,49
240000022386,78
240000022387,54
240000022388,72
240000022389,80
240000022390,37
240000022391,50
240000022392,81
240000022393,46
240000022394,40
240000022395,73
240000022396,34
240000022397,53
240000022398,88
240000022399,49
240000022400,53
240000022401,100
240000022402,70
240000022403,60
240000022404,68
240000022405,53
240000022406,67
240000022407,73
240000022408,66
240000022409,44
240000022410,73
240000022411,53
240000022412,65
240000022413,58
240000022414,33
240000022415,35
240000022416,68
240000022417,44
240000022418,43
240000022419,62
240000022420,43
240000022421,54
240000022422,76
240000022423,38
240000022424,44
240000022425,88
240000022426,61
240000022427,49
240000022428,75
240000022429,47
240000022430,61
240000022431,83
240000022432,57
240000022433,42
240000022434,71
240000022435,52
240000022436,69
240000022437,61
240000022438,36
240000022439,60
240000022440,84
240000022441,45
240000022442,29
240000022443,73
240000022444,39
240000022445,47
240000022446,83
240000022447,39
240000022448,39
240000022449,81
240000022450,72
240000022451,54
240000022452,78
240000022453,46
240000022454,70
240000022455,88
240000022456,70
240000022457,57
240000022458,80
240000022459,55
240000022460,72
240000022461,70
240000022462,40
240000022463,43
240000022464,81
240000022465,59
240000022466,33
240000022467,80
240000022468,33
240000022469,53
240000022470,93
240000022471,61
240000022472,32
240000022473,69
240000022474,68
240000022475,50
240000022476,86
240000022477,53
240000022478,69
240000022479,83
240000022480,68
240000022481,52
240000022482,91
240000022483,64
240000022484,67
240000022485,82
240000022486,29
240000022487,51
240000022488,77
240000022489,55
240000022490,38
240000022491,77
240000022492,31
240000022493,51
240000022494,87
240000022495,37
240000022496,29
240000022497,67
240000022498,80
240000022499,39
240000022500,87
240000022501,51
240000022502,76
240000022503,70
240000022504,69
240000022505,63
240000022506,85
240000022507,49
240000022508,64
240000022509,78
240000022510,34
240000022511,55
240000022512,74
240000022513,51
240000022514,32
240000022515,72
240000022516,31
240000022517,46
240000022518,76
240000022519,43
240000022520,34
240000022521,75
240000022522,73
240000022523,42
240000022524,84
240000022525,41
240000022526,83
240000022527,73
240000022528,56
240000022529,50
240000022530,87
240000022531,52
240000022532,59
240000022533,66
240000022534,43
240000022535,52
240000022536,72
240000022537,41
240000022538,34
240000022539,79
240000022540,36
240000022541,44
240000022542,80
240000022543,54
240000022544,37
240000022545,79
240000022546,58
240000022547,39
240000022548,90
240000022549,53
240000022550,70
240000022551,72
240000022552,72
240000022553,58
240000022554,70
240000022555,48
240000022556,71
240000022557,75
240000022558,35
240000022559,58
240000022560,68
240000022561,48
240000022562,46
240000022563,86
240000022564,41
240000022565,52
240000022566,83
240000022567,57
240000022568,33
240000022569,85
240000022570,76
240000022571,49
240000022572,87
240000022573,50
240000022574,72
240000022575,70
240000022576,63
240000022577,43
240000022578,71
240000022579,56
240000022580,52
240000022581,74
240000022582,39
240000022583,47
240000022584,72
240000022585,49
240000022586,37
240000022587,67
240000022588,43
240000022589,47
240000022590,76
240000022591,41
240000022592,34
240000022593,92
240000022594,64
240000022595,39
240000022596,84
240000022597,55
240000022598,61
240000022599,82
240000022600,60
240000022601,52
240000022602,70
240000022603,65
240000022604,66
240000022605,80
240000022606,32
240000022607,52
240000022608,75
240000022609,36
240000022610,31
240000022611,86
240000022612,43
240000022613,51
240000022614,86
240000022615,56
240000022616,40
240000022617,86
240000022618,69
240000022619,62
240000022620,77
240000022621,42
240000022622,66
240000022623,88
240000022624,64
240000022625,52
240000022626,85
240000022627,48
240000022628,68
240000022629,91
240000022630,42
240000022631,52
240000022632,71
240000022633,48
240000022634,43
240000022635,72
240000022636,44
240000022637,55
240000022638,74
240000022639,49
240000022640,32
240000022641,79
240000022642,66
240000022643,48
240000022644,82
240000022645,48
240000022646,74
240000022647,73
240000022648,65
240000022649,45
240000022650,82
240000022651,51
240000022652,67
240000022653,85
240000022654,34
240000022655,56
240000022656,75
240000022657,54
240000022658,39
240000022659,78
240000022660,41
240000022661,44
240000022662,83
240000022663,49
240000022664,38
240000022665,65
240000022666,69
240000022667,46
240000022668,87
240000022669,47
240000022670,74
240000022671,67
240000022672,71
240000022673,52
240000022674,76
240000022675,40
240000022676,70
240000022677,80
240000022678,37
240000022679,50
240000022680,83
240000022681,52
240000022682,44
240000022683,81
240000022684,32
240000022685,57
240000022686,89
240000022687,42
240000022688,36
240000022689,79
240000022690,65
240000022691,64
240000022692,85
240000022693,38
240000022694,55
240000022695,82
240000022696,54
240000022697,45
240000022698,77
240000022699,49
240000022700,65
240000022701,80
240000022702,40
240000022703,46
240000022704,83
240000022705,39
240000022706,33
240000022707,85
240000022708,48
240000022709,48
240000022710,71
240000022711,53
240000022712,37
240000022713,78
240000022714,66
240000022715,46
240000022716,72
240000022717,48
240000022718,73
240000022719,76
240000022720,65
