n,T
240000000457,44
240000000458,41
240000000459,70
240000000460,48
240000000461,59
240000000462,79
240000000463,49
240000000464,27
240000000465,88
240000000466,64
240000000467,55
240000000468,87
240000000469,63
240000000470,67
240000000471,83
240000000472,62
240000000473,55
240000000474,79
240000000475,56
240000000476,86
240000000477,83
240000000478,35
240000000479,51
240000000480,81
240000000481,47
240000000482,44
240000000483,78
240000000484,40
240000000485,50
240000000486,90
240000000487,65
240000000488,35
240000000489,69
240000000490,53
240000000491,46
240000000492,88
240000000493,47
240000000494,71
240000000495,71
240000000496,75
240000000497,50
240000000498,78
240000000499,42
240000000500,72
240000000501,67
240000000502,37
240000000503,40
240000000504,84
240000000505,48
240000000506,47
240000000507,80
240000000508,29
240000000509,57
240000000510,82
240000000511,59
240000000512,33
240000000513,76
240000000514,61
240000000515,57
240000000516,81
240000000517,49
240000000518,68
240000000519,81
240000000520,62
240000000521,50
240000000522,73
240000000523,40
240000000524,73
240000000525,67
240000000526,43
240000000527,62
240000000528,76
240000000529,50
240000000530,36
240000000531,96
240000000532,42
240000000533,70
240000000534,76
240000000535,61
240000000536,38
240000000537,101
240000000538,60
240000000539,60
240000000540,93
240000000541,60
240000000542,69
240000000543,75
240000000544,67
240000000545,42
240000000546,70
240000000547,48
240000000548,71
240000000549,66
240000000550,45
240000000551,48
240000000552,82
240000000553,53
240000000554,34
240000000555,83
240000000556,34
240000000557,57
240000000558,77
240000000559,66
240000000560,41
240000000561,82
240000000562,61
240000000563,59
240000000564,79
240000000565,55
240000000566,68
240000000567,85
240000000568,67
240000000569,40
240000000570,84
240000000571,63
240000000572,59
240000000573,75
240000000574,43
240000000575,48
240000000576,65
240000000577,40
240000000578,37
240000000579,81
240000000580,40
240000000581,67
240000000582,94
240000000583,37
240000000584,43
240000000585,68
240000000586,75
240000000587,57
240000000588,89
240000000589,49
240000000590,70
240000000591,76
240000000592,69
240000000593,48
240000000594,81
240000000595,52
240000000596,65
240000000597,82
240000000598,37
240000000599,56
240000000600,86
240000000601,40
240000000602,35
240000000603,70
240000000604,39
240000000605,54
240000000606,84
240000000607,45
240000000608,34
240000000609,69
240000000610,72
240000000611,54
240000000612,86
240000000613,50
240000000614,72
240000000615,92
240000000616,61
240000000617,42
240000000618,98
240000000619,63
240000000620,70
240000000621,73
240000000622,47
240000000623,45
240000000624,82
240000000625,51
240000000626,28
240000000627,76
240000000628,32
240000000629,51
240000000630,83
240000000631,51
240000000632,41
240000000633,81
240000000634,61
240000000635,56
240000000636,89
240000000637,56
240000000638,64
240000000639,83
240000000640,77
240000000641,67
240000000642,71
240000000643,58
240000000644,73
240000000645,94
240000000646,26
240000000647,59
240000000648,89
240000000649,45
240000000650,34
240000000651,80
240000000652,50
240000000653,40
240000000654,87
240000000655,45
240000000656,49
240000000657,72
240000000658,68
240000000659,53
240000000660,96
240000000661,44
240000000662,83
240000000663,79
240000000664,67
240000000665,60
240000000666,81
240000000667,51
240000000668,81
240000000669,81
240000000670,44
240000000671,47
240000000672,85
240000000673,46
240000000674,42
240000000675,77
240000000676,42
240000000677,50
240000000678,96
240000000679,52
240000000680,38
240000000681,89
240000000682,69
240000000683,57
240000000684,83
240000000685,48
240000000686,65
240000000687,66
240000000688,60
240000000689,50
240000000690,72
240000000691,54
240000000692,65
240000000693,83
240000000694,45
240000000695,52
240000000696,80
240000000697,45
240000000698,33
240000000699,90
240000000700,32
240000000701,57
240000000702,76
240000000703,45
240000000704,45
240000000705,93
240000000706,67
240000000707,39
240000000708,87
240000000709,59
240000000710,64
240000000711,71
240000000712,62
240000000713,54
240000000714,86
240000000715,57
240000000716,63
240000000717,67
240000000718,43
240000000719,56
240000000720,81
240000000721,40
240000000722,48
240000000723,61
240000000724,55
240000000725,47
240000000726,80
240000000727,51
240000000728,58
240000000729,87
240000000730,58
240000000731,50
240000000732,94
240000000733,52
240000000734,60
240000000735,86
240000000736,62
240000000737,48
240000000738,89
240000000739,59
240000000740,76
240000000741,58
240000000742,39
240000000743,38
240000000744,66
240000000745,47
240000000746,58
240000000747,72
240000000748,39
240000000749,56
240000000750,88
240000000751,45
240000000752,33
240000000753,76
240000000754,63
240000000755,57
240000000756,89
240000000757,71
240000000758,67
240000000759,76
240000000760,69
240000000761,50
240000000762,84
240000000763,53
240000000764,62
240000000765,68
240000000766,39
240000000767,53
240000000768,101
240000000769,50
240000000770,42
240000000771,74
240000000772,45
240000000773,50
240000000774,93
240000000775,66
240000000776,46
240000000777,97
240000000778,68
240000000779,55
240000000780,88
240000000781,58
240000000782,76
240000000783,83
240000000784,67
240000000785,45
240000000786,88
240000000787,51
240000000788,71
240000000789,78
240000000790,48
240000000791,55
240000000792,86
240000000793,59
240000000794,45
240000000795,77
240000000796,42
240000000797,50
240000000798,87
240000000799,59
240000000800,30
240000000801,80
240000000802,73
240000000803,45
240000000804,79
240000000805,56
240000000806,67
240000000807,64
240000000808,56
240000000809,51
240000000810,76
240000000811,53
240000000812,67
240000000813,80
240000000814,41
240000000815,45
240000000816,81
240000000817,55
240000000818,48
240000000819,78
240000000820,41
240000000821,51
240000000822,72
240000000823,54
240000000824,36
240000000825,84
240000000826,68
240000000827,53
240000000828,86
240000000829,44
240000000830,74
240000000831,80
240000000832,64
240000000833,44
240000000834,88
240000000835,57
240000000836,64
240000000837,82
240000000838,47
240000000839,56
240000000840,80
240000000841,45
240000000842,36
240000000843,74
240000000844,40
240000000845,57
240000000846,83
240000000847,42
240000000848,45
240000000849,84
240000000850,63
240000000851,51
240000000852,83
240000000853,52
240000000854,63
240000000855,70
240000000856,68
240000000857,61
240000000858,69
240000000859,58
240000000860,67
240000000861,87
240000000862,37
240000000863,51
240000000864,77
240000000865,44
240000000866,46
240000000867,90
240000000868,37
240000000869,50
240000000870,81
240000000871,53
240000000872,39
240000000873,76
240000000874,74
240000000875,60
240000000876,82
240000000877,53
240000000878,69
240000000879,82
240000000880,73
240000000881,51
240000000882,85
240000000883,49
240000000884,71
240000000885,64
240000000886,54
240000000887,31
240000000888,82
240000000889,50
240000000890,38
240000000891,75
240000000892,32
240000000893,50
240000000894,90
240000000895,54
240000000896,34
240000000897,80
240000000898,66
240000000899,67
240000000900,88
240000000901,42
240000000902,76
240000000903,78
240000000904,56
240000000905,33
240000000906,67
240000000907,57
240000000908,60
240000000909,73
240000000910,34
240000000911,50
240000000912,72
240000000913,50
240000000914,31
240000000915,76
240000000916,37
240000000917,45
240000000918,81
240000000919,63
240000000920,37
240000000921,75
240000000922,71
240000000923,44
240000000924,74
240000000925,52
240000000926,55
240000000927,75
240000000928,65
240000000929,52
240000000930,71
240000000931,54
240000000932,55
240000000933,90
240000000934,38
240000000935,52
240000000936,78
240000000937,51
240000000938,37
240000000939,77
240000000940,40
240000000941,47
240000000942,89
240000000943,49
240000000944,45
240000000945,90
240000000946,59
240000000947,58
240000000948,96
240000000949,53
240000000950,63
240000000951,85
240000000952,62
240000000953,49
240000000954,76
240000000955,61
240000000956,70
240000000957,85
240000000958,39
240000000959,49
240000000960,84
240000000961,55
240000000962,37
240000000963,79
240000000964,39
240000000965,49
240000000966,89
240000000967,50
240000000968,20
240000000969,76
240000000970,60
240000000971,56
240000000972,70
240000000973,52
240000000974,69
240000000975,69
240000000976,60
240000000977,50
240000000978,85
240000000979,46
240000000980,66
240000000981,77
240000000982,35
240000000983,47
240000000984,76
240000000985,42
240000000986,40
240000000987,78
240000000988,35
240000000989,46
240000000990,90
240000000991,58
240000000992,38
240000000993,76
240000000994,62
240000000995,39
240000000996,97
240000000997,49
240000000998,65
240000000999,85
240000001000,69
240000001001,44
240000001002,85
240000001003,47
240000001004,71
240000001005,83
240000001006,40
240000001007,48
240000001008,80
240000001009,39
240000001010,44
240000001011,76
240000001012,34
240000001013,60
240000001014,86
240000001015,44
240000001016,37
240000001017,83
240000001018,64
240000001019,72
240000001020,85
240000001021,44
240000001022,74
240000001023,78
240000001024,49
240000001025,51
240000001026,71
240000001027,47
240000001028,75
240000001029,72
240000001030,31
240000001031,52
240000001032,78
240000001033,47
240000001034,30
240000001035,84
240000001036,34
240000001037,69
240000001038,72
240000001039,57
240000001040,40
240000001041,93
240000001042,54
240000001043,59
240000001044,75
240000001045,48
240000001046,71
240000001047,71
240000001048,53
240000001049,46
240000001050,80
240000001051,64
240000001052,76
240000001053,88
240000001054,48
240000001055,62
240000001056,67
240000001057,58
240000001058,30
240000001059,98
240000001060,33
240000001061,51
240000001062,81
240000001063,64
240000001064,34
240000001065,100
240000001066,67
240000001067,65
240000001068,94
240000001069,50
240000001070,69
240000001071,74
240000001072,62
240000001073,51
240000001074,81
240000001075,47
240000001076,59
240000001077,90
240000001078,47
240000001079,51
240000001080,74
240000001081,55
240000001082,35
240000001083,73
240000001084,33
240000001085,49
240000001086,86
240000001087,49
240000001088,32
240000001089,82
240000001090,68
240000001091,52
240000001092,87
240000001093,46
240000001094,64
240000001095,86
240000001096,71
240000001097,57
240000001098,78
240000001099,47
240000001100,61
240000001101,79
240000001102,34
240000001103,52
240000001104,78
240000001105,43
240000001106,36
240000001107,89
240000001108,35
240000001109,59
240000001110,80
240000001111,37
240000001112,31
240000001113,87
240000001114,64
240000001115,53
240000001116,81
240000001117,41
240000001118,60
240000001119,82
240000001120,72
240000001121,51
240000001122,89
240000001123,50
240000001124,74
240000001125,78
240000001126,44
240000001127,51
240000001128,77
240000001129,50
240000001130,32
240000001131,93
240000001132,44
240000001133,51
240000001134,80
240000001135,56
240000001136,35
240000001137,78
240000001138,64
240000001139,59
240000001140,93
240000001141,46
240000001142,70
240000001143,68
240000001144,65
240000001145,55
240000001146,74
240000001147,57
240000001148,64
240000001149,82
240000001150,31
240000001151,54
240000001152,80
240000001153,32
240000001154,38
240000001155,73
240000001156,36
240000001157,39
240000001158,99
240000001159,44
240000001160,42
240000001161,68
240000001162,72
240000001163,50
240000001164,95
240000001165,43
240000001166,69
240000001167,86
240000001168,71
240000001169,48
240000001170,79
240000001171,50
240000001172,73
240000001173,80
240000001174,36
240000001175,49
240000001176,82
240000001177,52
240000001178,47
240000001179,84
240000001180,31
240000001181,55
240000001182,89
240000001183,46
240000001184,35
240000001185,67
240000001186,62
240000001187,58
240000001188,88
240000001189,47
240000001190,76
240000001191,80
240000001192,56
240000001193,44
240000001194,89
240000001195,55
240000001196,53
240000001197,88
240000001198,34
240000001199,57
240000001200,73
240000001201,44
240000001202,50
240000001203,82
240000001204,55
240000001205,59
240000001206,76
240000001207,51
240000001208,38
240000001209,58
240000001210,50
240000001211,45
240000001212,86
240000001213,51
240000001214,65
240000001215,79
240000001216,63
240000001217,54
240000001218,74
240000001219,65
240000001220,66
240000001221,79
240000001222,38
240000001223,45
240000001224,79
240000001225,47
240000001226,39
240000001227,73
240000001228,36
240000001229,59
240000001230,79
240000001231,57
240000001232,36
240000001233,93
240000001234,68
240000001235,56
240000001236,89
240000001237,57
240000001238,70
240000001239,83
240000001240,66
240000001241,45
240000001242,85
240000001243,47
240000001244,66
240000001245,82
240000001246,33
