t3,t7,t11,t23,mask_digest,crt_residue,modulus,member_count,previously_designed_class,previously_evaluated_integer_count,fresh_integer_count,minimum_fresh_integer,maximum_fresh_integer,member_digest,fresh_member_digest
2,5,76,172,14965b2bf51a6e2f9275df6bd262bad4895649dc7ded63238d485425f5734686,828540074,1129118760,55,False,2,53,184874897954,245847310994,dbdf498dde498bc2909fcd2a3c533c15a2982b71ccb8b3612deb3a33c1779ce3,accc58f5bd8fbc8274c047649b56c9ab96a7c291a8caa79258cc401bec18baa0
2,5,76,195,14965b2bf51a6e2f9275df6bd262bad4895649dc7ded63238d485425f5734686,632171594,1129118760,55,False,2,53,184678529474,245650942514,73b682f449b1188ba94d1cda53abcbcd1b8c5fd32caf3afba641396416b90c16,33b168b052aa6a0e7d741e9b330f895b8cfd740608eef624d2c8c6c637599290
2,5,76,241,14965b2bf51a6e2f9275df6bd262bad4895649dc7ded63238d485425f5734686,239434634,1129118760,56,False,1,55,184285792514,246387324314,07eecd3674df534d313301a4094aae88f4b111114741787b501c86482754c4fd,511da66c3a803a2dc34ecef5c7e4116ec0036abe21c6ecc693245006d225393d
2,5,76,264,14965b2bf51a6e2f9275df6bd262bad4895649dc7ded63238d485425f5734686,43066154,1129118760,56,False,1,55,184089424034,246190955834,1ca2d7f0e2ce99d0c71d0a191cd2243418b84ee1fbc3cc694e3ab6d03b3e9764,c60c750002dc6b6eca989c3e145d52af431ff7ea70d65002fa4039c7e3ffa834
2,5,76,287,fd92642879c505632baac57cb99ad131ba7b17e75386a1c826e410baa428aeee,975816434,1129118760,55,False,2,53,185022174314,245994587354,4c08b2f7bd069aaf325c67b8758517db611b43d82e64345b446373d47bd81c68,c0b6e16566915db07fd34f25d9dce06076836aebf7288f2ee733c0cf031ba064
2,5,76,310,65a6bbd42eb3518f4612341df4c100fa95786bebb8d3847106fe56e810186b8a,779447954,1129118760,55,False,2,53,184825805834,245798218874,b1b1d6261d4ac9cab39221d994d202825922873289642d0ecc1c7f4841e99b27,ba2682e3d3e7a3ff11f4a9715af6b65a8ec2d9cbb8d92718d2a4cdc36958dcd1
2,5,76,356,14965b2bf51a6e2f9275df6bd262bad4895649dc7ded63238d485425f5734686,386710994,1129118760,56,False,1,55,184433068874,246534600674,d5c316cc098e2d2a00f7057a97b9e716ae0fa288237210302261beabdc6a4101,4f0cf7bcf5b8c6d0558675beab1e6df756f306f5d8aa3d15d1d8c66880a91ee7
2,5,76,379,14965b2bf51a6e2f9275df6bd262bad4895649dc7ded63238d485425f5734686,190342514,1129118760,56,False,1,55,184236700394,246338232194,faf4344a03637ff0d3a5c30ff97268e55311a4046f3089b9b7559a46ceb3cfab,6e1368ba399dee8db4f30091436ebdd1196f1af567b76d28db0365d9430f6a9a
2,5,76,402,8bcc768794a55698b3b28fca7af7a75a21e1a0a3b9f33e69cff4a5bdc6377b3b,1123092794,1129118760,56,False,1,55,184040331914,246141863714,6c2ae170ad5bb2a837bb288775048b9d1ec7db0e1c6e5516de1549f6a50bce34,8c72651eb2a3598554d72febcb448a450a0e67ae347ae834d99cf6159ff10894
2,5,76,425,14965b2bf51a6e2f9275df6bd262bad4895649dc7ded63238d485425f5734686,926724314,1129118760,55,False,2,53,184973082194,245945495234,4f7876e46b64641c875156b67729f4bf2170e61c1f8627faa8d731a4c041b8b0,0a6d0449bb3d01232497a505aeeb7e8f3a2d1f0af3e99707cb0207059acd906b
2,5,76,471,57916e7788608951615f916939969a084dfde84939279ba596a50e2fee28295a,533987354,1129118760,56,False,1,55,184580345234,246681877034,c9f31d57927065af5040f1e383e34ab676062dc504789145c416caa320cd5d81,ab0597d5b3dd5434e086f7f640169e979829a0f007f9abd77c9ce30c2181e717
2,5,76,494,14965b2bf51a6e2f9275df6bd262bad4895649dc7ded63238d485425f5734686,337618874,1129118760,56,False,1,55,184383976754,246485508554,4b65b55e61f124dc57021737b191e3bd9cde2d1e7018325f072cf27e5d4e10d8,4491326e0eff197224a371366e399f946e4ee33718954c20415980f46fc7098c
2,5,76,517,14965b2bf51a6e2f9275df6bd262bad4895649dc7ded63238d485425f5734686,141250394,1129118760,56,False,1,55,184187608274,246289140074,853fbe88bd093e1051d06c513e8b213a6ccee73ecf136b44a87097e6764a2f0a,9564bb5df737140d4e9d829c5aad049b0506cbf1101304afc3fb086dbff13682
2,5,98,11,14965b2bf51a6e2f9275df6bd262bad4895649dc7ded63238d485425f5734686,458117714,1129118760,56,False,1,55,184504475594,246606007394,7d90177bbf6115aab95848b67fc5766cd0d9c27868779b33228ad65972e110ee,8c3fee68fbbf69fbee2f20c7dc70043499c12a8158479ac8a1298e4f66e24f12
2,5,98,57,14965b2bf51a6e2f9275df6bd262bad4895649dc7ded63238d485425f5734686,65380754,1129118760,56,False,1,55,184111738634,246213270434,3df0a89750b3b80799955a32b6fe47306e758af9ed1fe61e8c5166fbda0cc41e,bda05254976bc01cd1797fd39ee8f3fb943ebc213810975502be40f5bcc47a8b
2,5,98,103,14965b2bf51a6e2f9275df6bd262bad4895649dc7ded63238d485425f5734686,801762554,1129118760,55,False,2,53,184848120434,245820533474,cefdae20ddf13cd0af72b47b0f1b489caefd30c1169a744b56e5696e807e0dd0,cd57c0a918862670b8ed62d085ceb207c4f420702092d40de59a31696cc5dd59
2,5,98,172,14965b2bf51a6e2f9275df6bd262bad4895649dc7ded63238d485425f5734686,212657114,1129118760,56,False,1,55,184259014994,246360546794,2cd6d00e98e0d443680fea224b47ae856f76afd40a9074a5622257941968db1b,a32e3d083baad89ff8bba2e358f8b7acaba068d6aa1156c489c0d41da3ca1642
2,5,98,195,14965b2bf51a6e2f9275df6bd262bad4895649dc7ded63238d485425f5734686,16288634,1129118760,56,False,1,55,184062646514,246164178314,6383380576ebbb2e9ab9af9a77b83fca8577f5d00a31cebb9f037adcca515223,9aa9141c3072ce993d0cef835b71a8ee21f26b506ffdc942e33f547206ffd4de
2,5,98,241,14965b2bf51a6e2f9275df6bd262bad4895649dc7ded63238d485425f5734686,752670434,1129118760,55,False,2,53,184799028314,245771441354,5e4593cf539e778c3a060b35c6336c0ff71336409426155cd4e2a8e4a16c37b0,d0d6525acac61ed6e6bdbbf5c050adaaa251463781f18a685e69d02f9aa7bcbe
2,5,98,264,14965b2bf51a6e2f9275df6bd262bad4895649dc7ded63238d485425f5734686,556301954,1129118760,56,False,1,55,184602659834,246704191634,97d52d82132eb6ae44d612e5b6fd9bb896fd14e6a71625b900aaefdcffd7d89f,ae2ca94dfd7e42d0b0906aa65c66f81daa74df157fe1ff6e6dd07687e41bf53b
2,5,98,287,fd92642879c505632baac57cb99ad131ba7b17e75386a1c826e410baa428aeee,359933474,1129118760,56,False,1,55,184406291354,246507823154,05f26065a82d058c658bbb2eceb439fe3f8821f8c7c9a9ed4a6d91d8f1ae03b2,f0d8ca3aba8651dd4b1ce5205befdebc4e20c29e6738364c2aa0b19488a9736b
2,5,98,310,65a6bbd42eb3518f4612341df4c100fa95786bebb8d3847106fe56e810186b8a,163564994,1129118760,56,False,1,55,184209922874,246311454674,5c2492a781e0d6f746cd145553478e243462469e49986789539c71c893fa9140,a722d0b08f104ee9742d7a291f74ff0ff0e45ccd41f32872ac22fa6e41b1613a
2,5,98,356,14965b2bf51a6e2f9275df6bd262bad4895649dc7ded63238d485425f5734686,899946794,1129118760,55,False,2,53,184946304674,245918717714,965e856d88b184504ae6c7fc63c8d65a3da98c0762693988c50f96e9315fcf4d,45ec189f240cc943db8dc55046fa35555d6a076a58fef7fbd713f0f4b3b4098e
2,5,98,379,14965b2bf51a6e2f9275df6bd262bad4895649dc7ded63238d485425f5734686,703578314,1129118760,55,False,2,53,184749936194,245722349234,441d1d31bed3ffcaf7a714834088267a9311090aa1266e7aa0f08d7f8b305943,4b11ea7dec648843889af928c7e9c3f0a2925805f1de62995f2d42cf1a876bfd
